formula_normalized,count,functions,examples
"INDEX(Solarstrahlungsdaten!$B$13:$G$8772,Übersicht!O5838,Übersicht!$E$10)",1,INDEX,Übersicht!W5838
"INDEX(Solarstrahlungsdaten!$B$13:$G$8772,Übersicht!O5839,Übersicht!$E$10)",1,INDEX,Übersicht!W5839
"INDEX(Solarstrahlungsdaten!$B$13:$G$8772,Übersicht!O5840,Übersicht!$E$10)",1,INDEX,Übersicht!W5840
"INDEX(Solarstrahlungsdaten!$B$13:$G$8772,Übersicht!O5841,Übersicht!$E$10)",1,INDEX,Übersicht!W5841
"INDEX(Solarstrahlungsdaten!$B$13:$G$8772,Übersicht!O5842,Übersicht!$E$10)",1,INDEX,Übersicht!W5842
"INDEX(Solarstrahlungsdaten!$B$13:$G$8772,Übersicht!O5843,Übersicht!$E$10)",1,INDEX,Übersicht!W5843
"INDEX(Solarstrahlungsdaten!$B$13:$G$8772,Übersicht!O5844,Übersicht!$E$10)",1,INDEX,Übersicht!W5844
"INDEX(Solarstrahlungsdaten!$B$13:$G$8772,Übersicht!O5845,Übersicht!$E$10)",1,INDEX,Übersicht!W5845
"INDEX(Solarstrahlungsdaten!$B$13:$G$8772,Übersicht!O5846,Übersicht!$E$10)",1,INDEX,Übersicht!W5846
"INDEX(Solarstrahlungsdaten!$B$13:$G$8772,Übersicht!O5847,Übersicht!$E$10)",1,INDEX,Übersicht!W5847
"INDEX(Solarstrahlungsdaten!$B$13:$G$8772,Übersicht!O5848,Übersicht!$E$10)",1,INDEX,Übersicht!W5848
"INDEX(Solarstrahlungsdaten!$B$13:$G$8772,Übersicht!O5849,Übersicht!$E$10)",1,INDEX,Übersicht!W5849
"INDEX(Solarstrahlungsdaten!$B$13:$G$8772,Übersicht!O5850,Übersicht!$E$10)",1,INDEX,Übersicht!W5850
"INDEX(Solarstrahlungsdaten!$B$13:$G$8772,Übersicht!O5851,Übersicht!$E$10)",1,INDEX,Übersicht!W5851
"INDEX(Solarstrahlungsdaten!$B$13:$G$8772,Übersicht!O5852,Übersicht!$E$10)",1,INDEX,Übersicht!W5852
"INDEX(Solarstrahlungsdaten!$B$13:$G$8772,Übersicht!O5853,Übersicht!$E$10)",1,INDEX,Übersicht!W5853
"INDEX(Solarstrahlungsdaten!$B$13:$G$8772,Übersicht!O5854,Übersicht!$E$10)",1,INDEX,Übersicht!W5854
"INDEX(Solarstrahlungsdaten!$B$13:$G$8772,Übersicht!O5855,Übersicht!$E$10)",1,INDEX,Übersicht!W5855
"INDEX(Solarstrahlungsdaten!$B$13:$G$8772,Übersicht!O5856,Übersicht!$E$10)",1,INDEX,Übersicht!W5856
"INDEX(Solarstrahlungsdaten!$B$13:$G$8772,Übersicht!O5857,Übersicht!$E$10)",1,INDEX,Übersicht!W5857
"INDEX(Solarstrahlungsdaten!$B$13:$G$8772,Übersicht!O5858,Übersicht!$E$10)",1,INDEX,Übersicht!W5858
"INDEX(Solarstrahlungsdaten!$B$13:$G$8772,Übersicht!O5859,Übersicht!$E$10)",1,INDEX,Übersicht!W5859
"INDEX(Solarstrahlungsdaten!$B$13:$G$8772,Übersicht!O5860,Übersicht!$E$10)",1,INDEX,Übersicht!W5860
"INDEX(Solarstrahlungsdaten!$B$13:$G$8772,Übersicht!O5861,Übersicht!$E$10)",1,INDEX,Übersicht!W5861
"INDEX(Solarstrahlungsdaten!$B$13:$G$8772,Übersicht!O5862,Übersicht!$E$10)",1,INDEX,Übersicht!W5862
"INDEX(Solarstrahlungsdaten!$B$13:$G$8772,Übersicht!O5863,Übersicht!$E$10)",1,INDEX,Übersicht!W5863
"INDEX(Solarstrahlungsdaten!$B$13:$G$8772,Übersicht!O5864,Übersicht!$E$10)",1,INDEX,Übersicht!W5864
"INDEX(Solarstrahlungsdaten!$B$13:$G$8772,Übersicht!O5865,Übersicht!$E$10)",1,INDEX,Übersicht!W5865
"INDEX(Solarstrahlungsdaten!$B$13:$G$8772,Übersicht!O5866,Übersicht!$E$10)",1,INDEX,Übersicht!W5866
"INDEX(Solarstrahlungsdaten!$B$13:$G$8772,Übersicht!O5867,Übersicht!$E$10)",1,INDEX,Übersicht!W5867
"INDEX(Solarstrahlungsdaten!$B$13:$G$8772,Übersicht!O5868,Übersicht!$E$10)",1,INDEX,Übersicht!W5868
"INDEX(Solarstrahlungsdaten!$B$13:$G$8772,Übersicht!O5869,Übersicht!$E$10)",1,INDEX,Übersicht!W5869
"INDEX(Solarstrahlungsdaten!$B$13:$G$8772,Übersicht!O5870,Übersicht!$E$10)",1,INDEX,Übersicht!W5870
"INDEX(Solarstrahlungsdaten!$B$13:$G$8772,Übersicht!O5871,Übersicht!$E$10)",1,INDEX,Übersicht!W5871
"INDEX(Solarstrahlungsdaten!$B$13:$G$8772,Übersicht!O5872,Übersicht!$E$10)",1,INDEX,Übersicht!W5872
"INDEX(Solarstrahlungsdaten!$B$13:$G$8772,Übersicht!O5873,Übersicht!$E$10)",1,INDEX,Übersicht!W5873
"INDEX(Solarstrahlungsdaten!$B$13:$G$8772,Übersicht!O5874,Übersicht!$E$10)",1,INDEX,Übersicht!W5874
"INDEX(Solarstrahlungsdaten!$B$13:$G$8772,Übersicht!O5875,Übersicht!$E$10)",1,INDEX,Übersicht!W5875
"INDEX(Solarstrahlungsdaten!$B$13:$G$8772,Übersicht!O5876,Übersicht!$E$10)",1,INDEX,Übersicht!W5876
"INDEX(Solarstrahlungsdaten!$B$13:$G$8772,Übersicht!O5877,Übersicht!$E$10)",1,INDEX,Übersicht!W5877
"INDEX(Solarstrahlungsdaten!$B$13:$G$8772,Übersicht!O5878,Übersicht!$E$10)",1,INDEX,Übersicht!W5878
"INDEX(Solarstrahlungsdaten!$B$13:$G$8772,Übersicht!O5879,Übersicht!$E$10)",1,INDEX,Übersicht!W5879
"INDEX(Solarstrahlungsdaten!$B$13:$G$8772,Übersicht!O5880,Übersicht!$E$10)",1,INDEX,Übersicht!W5880
DAY(P5881),1,DAY,Übersicht!Q5881
MONTH(P5881),1,MONTH,Übersicht!R5881
"IF(WEEKDAY(P5881)=6,1,IF(WEEKDAY(P5881)=7,2,3))",1,"IF, WEEKDAY",Übersicht!S5881
HOUR(P5881),1,HOUR,Übersicht!T5881
"IF(AND(P5881>DATE(2021,5,14),P5881<DATE(2021,9,15)),1,IF(AND(P5881>DATE(2021,3,20),P5881<DATE(2021,11,1)),2,0))",1,"AND, DATE, IF",Übersicht!U5881
"INDEX($D$57:$L$80,1+T5881,S5881+U5881*3)",1,INDEX,Übersicht!V5881
"INDEX(Solarstrahlungsdaten!$B$13:$G$8772,Übersicht!O5881,Übersicht!$E$10)",1,INDEX,Übersicht!W5881
"IF(W5881*$D$9/1000*(1-$D$41)>$D$9*$D$42,$D$9*$D$42,W5881*$D$9/1000*(1-$D$41))",1,IF,Übersicht!X5881
V5881-X5881,1,,Übersicht!Y5881
"IF(X5881>V5881,V5881,X5881)",1,IF,Übersicht!Z5881
Y5881+AA5881-AB5881,1,,Übersicht!AD5881
"IF(AD5881<0,-AD5881,0)",1,IF,Übersicht!AE5881
"IF(AD5881>0,AD5881,0)",1,IF,Übersicht!AF5881
"IF($D$22>0,AC5881/$D$22,0)",1,IF,Übersicht!AG5881
"IF(AC5881<=0,1,0)",1,IF,Übersicht!AH5881
"P5881+TIME(1,,)",1,TIME,Übersicht!P5882
"INDEX(Solarstrahlungsdaten!$B$13:$G$8772,Übersicht!O5882,Übersicht!$E$10)",1,INDEX,Übersicht!W5882
"IF(Y5882<0,IF(AC5881-Y5882<$D$22,-Y5882,$D$22-AC5881),0)",1,IF,Übersicht!AA5882
"IF(Y5882>0,IF(AC5881-Y5882>0,Y5882,AC5881),0)",1,IF,Übersicht!AB5882
AC5881+AA5882-AB5882,1,,Übersicht!AC5882
"INDEX(Solarstrahlungsdaten!$B$13:$G$8772,Übersicht!O5883,Übersicht!$E$10)",1,INDEX,Übersicht!W5883
"INDEX(Solarstrahlungsdaten!$B$13:$G$8772,Übersicht!O5884,Übersicht!$E$10)",1,INDEX,Übersicht!W5884
"INDEX(Solarstrahlungsdaten!$B$13:$G$8772,Übersicht!O5885,Übersicht!$E$10)",1,INDEX,Übersicht!W5885
"INDEX(Solarstrahlungsdaten!$B$13:$G$8772,Übersicht!O5886,Übersicht!$E$10)",1,INDEX,Übersicht!W5886
"INDEX(Solarstrahlungsdaten!$B$13:$G$8772,Übersicht!O5887,Übersicht!$E$10)",1,INDEX,Übersicht!W5887
"INDEX(Solarstrahlungsdaten!$B$13:$G$8772,Übersicht!O5888,Übersicht!$E$10)",1,INDEX,Übersicht!W5888
"INDEX(Solarstrahlungsdaten!$B$13:$G$8772,Übersicht!O5889,Übersicht!$E$10)",1,INDEX,Übersicht!W5889
"INDEX(Solarstrahlungsdaten!$B$13:$G$8772,Übersicht!O5890,Übersicht!$E$10)",1,INDEX,Übersicht!W5890
"INDEX(Solarstrahlungsdaten!$B$13:$G$8772,Übersicht!O5891,Übersicht!$E$10)",1,INDEX,Übersicht!W5891
"INDEX(Solarstrahlungsdaten!$B$13:$G$8772,Übersicht!O5892,Übersicht!$E$10)",1,INDEX,Übersicht!W5892
"INDEX(Solarstrahlungsdaten!$B$13:$G$8772,Übersicht!O5893,Übersicht!$E$10)",1,INDEX,Übersicht!W5893
"INDEX(Solarstrahlungsdaten!$B$13:$G$8772,Übersicht!O5894,Übersicht!$E$10)",1,INDEX,Übersicht!W5894
"INDEX(Solarstrahlungsdaten!$B$13:$G$8772,Übersicht!O5895,Übersicht!$E$10)",1,INDEX,Übersicht!W5895
"INDEX(Solarstrahlungsdaten!$B$13:$G$8772,Übersicht!O5896,Übersicht!$E$10)",1,INDEX,Übersicht!W5896
"INDEX(Solarstrahlungsdaten!$B$13:$G$8772,Übersicht!O5897,Übersicht!$E$10)",1,INDEX,Übersicht!W5897
"INDEX(Solarstrahlungsdaten!$B$13:$G$8772,Übersicht!O5898,Übersicht!$E$10)",1,INDEX,Übersicht!W5898
"INDEX(Solarstrahlungsdaten!$B$13:$G$8772,Übersicht!O5899,Übersicht!$E$10)",1,INDEX,Übersicht!W5899
"INDEX(Solarstrahlungsdaten!$B$13:$G$8772,Übersicht!O5900,Übersicht!$E$10)",1,INDEX,Übersicht!W5900
"INDEX(Solarstrahlungsdaten!$B$13:$G$8772,Übersicht!O5901,Übersicht!$E$10)",1,INDEX,Übersicht!W5901
"INDEX(Solarstrahlungsdaten!$B$13:$G$8772,Übersicht!O5902,Übersicht!$E$10)",1,INDEX,Übersicht!W5902
"INDEX(Solarstrahlungsdaten!$B$13:$G$8772,Übersicht!O5903,Übersicht!$E$10)",1,INDEX,Übersicht!W5903
"INDEX(Solarstrahlungsdaten!$B$13:$G$8772,Übersicht!O5904,Übersicht!$E$10)",1,INDEX,Übersicht!W5904
"INDEX(Solarstrahlungsdaten!$B$13:$G$8772,Übersicht!O5905,Übersicht!$E$10)",1,INDEX,Übersicht!W5905
"INDEX(Solarstrahlungsdaten!$B$13:$G$8772,Übersicht!O5906,Übersicht!$E$10)",1,INDEX,Übersicht!W5906
"INDEX(Solarstrahlungsdaten!$B$13:$G$8772,Übersicht!O5907,Übersicht!$E$10)",1,INDEX,Übersicht!W5907
"INDEX(Solarstrahlungsdaten!$B$13:$G$8772,Übersicht!O5908,Übersicht!$E$10)",1,INDEX,Übersicht!W5908
"INDEX(Solarstrahlungsdaten!$B$13:$G$8772,Übersicht!O5909,Übersicht!$E$10)",1,INDEX,Übersicht!W5909
"INDEX(Solarstrahlungsdaten!$B$13:$G$8772,Übersicht!O5910,Übersicht!$E$10)",1,INDEX,Übersicht!W5910
"INDEX(Solarstrahlungsdaten!$B$13:$G$8772,Übersicht!O5911,Übersicht!$E$10)",1,INDEX,Übersicht!W5911
"INDEX(Solarstrahlungsdaten!$B$13:$G$8772,Übersicht!O5912,Übersicht!$E$10)",1,INDEX,Übersicht!W5912
"INDEX(Solarstrahlungsdaten!$B$13:$G$8772,Übersicht!O5913,Übersicht!$E$10)",1,INDEX,Übersicht!W5913
"INDEX(Solarstrahlungsdaten!$B$13:$G$8772,Übersicht!O5914,Übersicht!$E$10)",1,INDEX,Übersicht!W5914
"INDEX(Solarstrahlungsdaten!$B$13:$G$8772,Übersicht!O5915,Übersicht!$E$10)",1,INDEX,Übersicht!W5915
"INDEX(Solarstrahlungsdaten!$B$13:$G$8772,Übersicht!O5916,Übersicht!$E$10)",1,INDEX,Übersicht!W5916
"INDEX(Solarstrahlungsdaten!$B$13:$G$8772,Übersicht!O5917,Übersicht!$E$10)",1,INDEX,Übersicht!W5917
"INDEX(Solarstrahlungsdaten!$B$13:$G$8772,Übersicht!O5918,Übersicht!$E$10)",1,INDEX,Übersicht!W5918
"INDEX(Solarstrahlungsdaten!$B$13:$G$8772,Übersicht!O5919,Übersicht!$E$10)",1,INDEX,Übersicht!W5919
"INDEX(Solarstrahlungsdaten!$B$13:$G$8772,Übersicht!O5920,Übersicht!$E$10)",1,INDEX,Übersicht!W5920
"INDEX(Solarstrahlungsdaten!$B$13:$G$8772,Übersicht!O5921,Übersicht!$E$10)",1,INDEX,Übersicht!W5921
"INDEX(Solarstrahlungsdaten!$B$13:$G$8772,Übersicht!O5922,Übersicht!$E$10)",1,INDEX,Übersicht!W5922
"INDEX(Solarstrahlungsdaten!$B$13:$G$8772,Übersicht!O5923,Übersicht!$E$10)",1,INDEX,Übersicht!W5923
"INDEX(Solarstrahlungsdaten!$B$13:$G$8772,Übersicht!O5924,Übersicht!$E$10)",1,INDEX,Übersicht!W5924
"INDEX(Solarstrahlungsdaten!$B$13:$G$8772,Übersicht!O5925,Übersicht!$E$10)",1,INDEX,Übersicht!W5925
"INDEX(Solarstrahlungsdaten!$B$13:$G$8772,Übersicht!O5926,Übersicht!$E$10)",1,INDEX,Übersicht!W5926
"INDEX(Solarstrahlungsdaten!$B$13:$G$8772,Übersicht!O5927,Übersicht!$E$10)",1,INDEX,Übersicht!W5927
"INDEX(Solarstrahlungsdaten!$B$13:$G$8772,Übersicht!O5928,Übersicht!$E$10)",1,INDEX,Übersicht!W5928
"INDEX(Solarstrahlungsdaten!$B$13:$G$8772,Übersicht!O5929,Übersicht!$E$10)",1,INDEX,Übersicht!W5929
"INDEX(Solarstrahlungsdaten!$B$13:$G$8772,Übersicht!O5930,Übersicht!$E$10)",1,INDEX,Übersicht!W5930
"INDEX(Solarstrahlungsdaten!$B$13:$G$8772,Übersicht!O5931,Übersicht!$E$10)",1,INDEX,Übersicht!W5931
"INDEX(Solarstrahlungsdaten!$B$13:$G$8772,Übersicht!O5932,Übersicht!$E$10)",1,INDEX,Übersicht!W5932
"INDEX(Solarstrahlungsdaten!$B$13:$G$8772,Übersicht!O5933,Übersicht!$E$10)",1,INDEX,Übersicht!W5933
"INDEX(Solarstrahlungsdaten!$B$13:$G$8772,Übersicht!O5934,Übersicht!$E$10)",1,INDEX,Übersicht!W5934
"INDEX(Solarstrahlungsdaten!$B$13:$G$8772,Übersicht!O5935,Übersicht!$E$10)",1,INDEX,Übersicht!W5935
"INDEX(Solarstrahlungsdaten!$B$13:$G$8772,Übersicht!O5936,Übersicht!$E$10)",1,INDEX,Übersicht!W5936
"INDEX(Solarstrahlungsdaten!$B$13:$G$8772,Übersicht!O5937,Übersicht!$E$10)",1,INDEX,Übersicht!W5937
"INDEX(Solarstrahlungsdaten!$B$13:$G$8772,Übersicht!O5938,Übersicht!$E$10)",1,INDEX,Übersicht!W5938
"INDEX(Solarstrahlungsdaten!$B$13:$G$8772,Übersicht!O5939,Übersicht!$E$10)",1,INDEX,Übersicht!W5939
"INDEX(Solarstrahlungsdaten!$B$13:$G$8772,Übersicht!O5940,Übersicht!$E$10)",1,INDEX,Übersicht!W5940
"INDEX(Solarstrahlungsdaten!$B$13:$G$8772,Übersicht!O5941,Übersicht!$E$10)",1,INDEX,Übersicht!W5941
"INDEX(Solarstrahlungsdaten!$B$13:$G$8772,Übersicht!O5942,Übersicht!$E$10)",1,INDEX,Übersicht!W5942
"INDEX(Solarstrahlungsdaten!$B$13:$G$8772,Übersicht!O5943,Übersicht!$E$10)",1,INDEX,Übersicht!W5943
"INDEX(Solarstrahlungsdaten!$B$13:$G$8772,Übersicht!O5944,Übersicht!$E$10)",1,INDEX,Übersicht!W5944
DAY(P5945),1,DAY,Übersicht!Q5945
MONTH(P5945),1,MONTH,Übersicht!R5945
"IF(WEEKDAY(P5945)=6,1,IF(WEEKDAY(P5945)=7,2,3))",1,"IF, WEEKDAY",Übersicht!S5945
HOUR(P5945),1,HOUR,Übersicht!T5945
"IF(AND(P5945>DATE(2021,5,14),P5945<DATE(2021,9,15)),1,IF(AND(P5945>DATE(2021,3,20),P5945<DATE(2021,11,1)),2,0))",1,"AND, DATE, IF",Übersicht!U5945
"INDEX($D$57:$L$80,1+T5945,S5945+U5945*3)",1,INDEX,Übersicht!V5945
"INDEX(Solarstrahlungsdaten!$B$13:$G$8772,Übersicht!O5945,Übersicht!$E$10)",1,INDEX,Übersicht!W5945
"IF(W5945*$D$9/1000*(1-$D$41)>$D$9*$D$42,$D$9*$D$42,W5945*$D$9/1000*(1-$D$41))",1,IF,Übersicht!X5945
V5945-X5945,1,,Übersicht!Y5945
"IF(X5945>V5945,V5945,X5945)",1,IF,Übersicht!Z5945
Y5945+AA5945-AB5945,1,,Übersicht!AD5945
"IF(AD5945<0,-AD5945,0)",1,IF,Übersicht!AE5945
"IF(AD5945>0,AD5945,0)",1,IF,Übersicht!AF5945
"IF($D$22>0,AC5945/$D$22,0)",1,IF,Übersicht!AG5945
"IF(AC5945<=0,1,0)",1,IF,Übersicht!AH5945
"P5945+TIME(1,,)",1,TIME,Übersicht!P5946
"INDEX(Solarstrahlungsdaten!$B$13:$G$8772,Übersicht!O5946,Übersicht!$E$10)",1,INDEX,Übersicht!W5946
"IF(Y5946<0,IF(AC5945-Y5946<$D$22,-Y5946,$D$22-AC5945),0)",1,IF,Übersicht!AA5946
"IF(Y5946>0,IF(AC5945-Y5946>0,Y5946,AC5945),0)",1,IF,Übersicht!AB5946
AC5945+AA5946-AB5946,1,,Übersicht!AC5946
"INDEX(Solarstrahlungsdaten!$B$13:$G$8772,Übersicht!O5947,Übersicht!$E$10)",1,INDEX,Übersicht!W5947
"INDEX(Solarstrahlungsdaten!$B$13:$G$8772,Übersicht!O5948,Übersicht!$E$10)",1,INDEX,Übersicht!W5948
"INDEX(Solarstrahlungsdaten!$B$13:$G$8772,Übersicht!O5949,Übersicht!$E$10)",1,INDEX,Übersicht!W5949
"INDEX(Solarstrahlungsdaten!$B$13:$G$8772,Übersicht!O5950,Übersicht!$E$10)",1,INDEX,Übersicht!W5950
"INDEX(Solarstrahlungsdaten!$B$13:$G$8772,Übersicht!O5951,Übersicht!$E$10)",1,INDEX,Übersicht!W5951
"INDEX(Solarstrahlungsdaten!$B$13:$G$8772,Übersicht!O5952,Übersicht!$E$10)",1,INDEX,Übersicht!W5952
"INDEX(Solarstrahlungsdaten!$B$13:$G$8772,Übersicht!O5953,Übersicht!$E$10)",1,INDEX,Übersicht!W5953
"INDEX(Solarstrahlungsdaten!$B$13:$G$8772,Übersicht!O5954,Übersicht!$E$10)",1,INDEX,Übersicht!W5954
"INDEX(Solarstrahlungsdaten!$B$13:$G$8772,Übersicht!O5955,Übersicht!$E$10)",1,INDEX,Übersicht!W5955
"INDEX(Solarstrahlungsdaten!$B$13:$G$8772,Übersicht!O5956,Übersicht!$E$10)",1,INDEX,Übersicht!W5956
"INDEX(Solarstrahlungsdaten!$B$13:$G$8772,Übersicht!O5957,Übersicht!$E$10)",1,INDEX,Übersicht!W5957
"INDEX(Solarstrahlungsdaten!$B$13:$G$8772,Übersicht!O5958,Übersicht!$E$10)",1,INDEX,Übersicht!W5958
"INDEX(Solarstrahlungsdaten!$B$13:$G$8772,Übersicht!O5959,Übersicht!$E$10)",1,INDEX,Übersicht!W5959
"INDEX(Solarstrahlungsdaten!$B$13:$G$8772,Übersicht!O5960,Übersicht!$E$10)",1,INDEX,Übersicht!W5960
"INDEX(Solarstrahlungsdaten!$B$13:$G$8772,Übersicht!O5961,Übersicht!$E$10)",1,INDEX,Übersicht!W5961
"INDEX(Solarstrahlungsdaten!$B$13:$G$8772,Übersicht!O5962,Übersicht!$E$10)",1,INDEX,Übersicht!W5962
"INDEX(Solarstrahlungsdaten!$B$13:$G$8772,Übersicht!O5963,Übersicht!$E$10)",1,INDEX,Übersicht!W5963
"INDEX(Solarstrahlungsdaten!$B$13:$G$8772,Übersicht!O5964,Übersicht!$E$10)",1,INDEX,Übersicht!W5964
"INDEX(Solarstrahlungsdaten!$B$13:$G$8772,Übersicht!O5965,Übersicht!$E$10)",1,INDEX,Übersicht!W5965
"INDEX(Solarstrahlungsdaten!$B$13:$G$8772,Übersicht!O5966,Übersicht!$E$10)",1,INDEX,Übersicht!W5966
"INDEX(Solarstrahlungsdaten!$B$13:$G$8772,Übersicht!O5967,Übersicht!$E$10)",1,INDEX,Übersicht!W5967
"INDEX(Solarstrahlungsdaten!$B$13:$G$8772,Übersicht!O5968,Übersicht!$E$10)",1,INDEX,Übersicht!W5968
"INDEX(Solarstrahlungsdaten!$B$13:$G$8772,Übersicht!O5969,Übersicht!$E$10)",1,INDEX,Übersicht!W5969
"INDEX(Solarstrahlungsdaten!$B$13:$G$8772,Übersicht!O5970,Übersicht!$E$10)",1,INDEX,Übersicht!W5970
"INDEX(Solarstrahlungsdaten!$B$13:$G$8772,Übersicht!O5971,Übersicht!$E$10)",1,INDEX,Übersicht!W5971
"INDEX(Solarstrahlungsdaten!$B$13:$G$8772,Übersicht!O5972,Übersicht!$E$10)",1,INDEX,Übersicht!W5972
"INDEX(Solarstrahlungsdaten!$B$13:$G$8772,Übersicht!O5973,Übersicht!$E$10)",1,INDEX,Übersicht!W5973
"INDEX(Solarstrahlungsdaten!$B$13:$G$8772,Übersicht!O5974,Übersicht!$E$10)",1,INDEX,Übersicht!W5974
"INDEX(Solarstrahlungsdaten!$B$13:$G$8772,Übersicht!O5975,Übersicht!$E$10)",1,INDEX,Übersicht!W5975
"INDEX(Solarstrahlungsdaten!$B$13:$G$8772,Übersicht!O5976,Übersicht!$E$10)",1,INDEX,Übersicht!W5976
"INDEX(Solarstrahlungsdaten!$B$13:$G$8772,Übersicht!O5977,Übersicht!$E$10)",1,INDEX,Übersicht!W5977
"INDEX(Solarstrahlungsdaten!$B$13:$G$8772,Übersicht!O5978,Übersicht!$E$10)",1,INDEX,Übersicht!W5978
"INDEX(Solarstrahlungsdaten!$B$13:$G$8772,Übersicht!O5979,Übersicht!$E$10)",1,INDEX,Übersicht!W5979
"INDEX(Solarstrahlungsdaten!$B$13:$G$8772,Übersicht!O5980,Übersicht!$E$10)",1,INDEX,Übersicht!W5980
"INDEX(Solarstrahlungsdaten!$B$13:$G$8772,Übersicht!O5981,Übersicht!$E$10)",1,INDEX,Übersicht!W5981
"INDEX(Solarstrahlungsdaten!$B$13:$G$8772,Übersicht!O5982,Übersicht!$E$10)",1,INDEX,Übersicht!W5982
"INDEX(Solarstrahlungsdaten!$B$13:$G$8772,Übersicht!O5983,Übersicht!$E$10)",1,INDEX,Übersicht!W5983
"INDEX(Solarstrahlungsdaten!$B$13:$G$8772,Übersicht!O5984,Übersicht!$E$10)",1,INDEX,Übersicht!W5984
"INDEX(Solarstrahlungsdaten!$B$13:$G$8772,Übersicht!O5985,Übersicht!$E$10)",1,INDEX,Übersicht!W5985
"INDEX(Solarstrahlungsdaten!$B$13:$G$8772,Übersicht!O5986,Übersicht!$E$10)",1,INDEX,Übersicht!W5986
"INDEX(Solarstrahlungsdaten!$B$13:$G$8772,Übersicht!O5987,Übersicht!$E$10)",1,INDEX,Übersicht!W5987
"INDEX(Solarstrahlungsdaten!$B$13:$G$8772,Übersicht!O5988,Übersicht!$E$10)",1,INDEX,Übersicht!W5988
"INDEX(Solarstrahlungsdaten!$B$13:$G$8772,Übersicht!O5989,Übersicht!$E$10)",1,INDEX,Übersicht!W5989
"INDEX(Solarstrahlungsdaten!$B$13:$G$8772,Übersicht!O5990,Übersicht!$E$10)",1,INDEX,Übersicht!W5990
"INDEX(Solarstrahlungsdaten!$B$13:$G$8772,Übersicht!O5991,Übersicht!$E$10)",1,INDEX,Übersicht!W5991
"INDEX(Solarstrahlungsdaten!$B$13:$G$8772,Übersicht!O5992,Übersicht!$E$10)",1,INDEX,Übersicht!W5992
"INDEX(Solarstrahlungsdaten!$B$13:$G$8772,Übersicht!O5993,Übersicht!$E$10)",1,INDEX,Übersicht!W5993
"INDEX(Solarstrahlungsdaten!$B$13:$G$8772,Übersicht!O5994,Übersicht!$E$10)",1,INDEX,Übersicht!W5994
"INDEX(Solarstrahlungsdaten!$B$13:$G$8772,Übersicht!O5995,Übersicht!$E$10)",1,INDEX,Übersicht!W5995
"INDEX(Solarstrahlungsdaten!$B$13:$G$8772,Übersicht!O5996,Übersicht!$E$10)",1,INDEX,Übersicht!W5996
"INDEX(Solarstrahlungsdaten!$B$13:$G$8772,Übersicht!O5997,Übersicht!$E$10)",1,INDEX,Übersicht!W5997
"INDEX(Solarstrahlungsdaten!$B$13:$G$8772,Übersicht!O5998,Übersicht!$E$10)",1,INDEX,Übersicht!W5998
"INDEX(Solarstrahlungsdaten!$B$13:$G$8772,Übersicht!O5999,Übersicht!$E$10)",1,INDEX,Übersicht!W5999
"INDEX(Solarstrahlungsdaten!$B$13:$G$8772,Übersicht!O6000,Übersicht!$E$10)",1,INDEX,Übersicht!W6000
"INDEX(Solarstrahlungsdaten!$B$13:$G$8772,Übersicht!O6001,Übersicht!$E$10)",1,INDEX,Übersicht!W6001
"INDEX(Solarstrahlungsdaten!$B$13:$G$8772,Übersicht!O6002,Übersicht!$E$10)",1,INDEX,Übersicht!W6002
"INDEX(Solarstrahlungsdaten!$B$13:$G$8772,Übersicht!O6003,Übersicht!$E$10)",1,INDEX,Übersicht!W6003
"INDEX(Solarstrahlungsdaten!$B$13:$G$8772,Übersicht!O6004,Übersicht!$E$10)",1,INDEX,Übersicht!W6004
"INDEX(Solarstrahlungsdaten!$B$13:$G$8772,Übersicht!O6005,Übersicht!$E$10)",1,INDEX,Übersicht!W6005
"INDEX(Solarstrahlungsdaten!$B$13:$G$8772,Übersicht!O6006,Übersicht!$E$10)",1,INDEX,Übersicht!W6006
"INDEX(Solarstrahlungsdaten!$B$13:$G$8772,Übersicht!O6007,Übersicht!$E$10)",1,INDEX,Übersicht!W6007
"INDEX(Solarstrahlungsdaten!$B$13:$G$8772,Übersicht!O6008,Übersicht!$E$10)",1,INDEX,Übersicht!W6008
DAY(P6009),1,DAY,Übersicht!Q6009
MONTH(P6009),1,MONTH,Übersicht!R6009
"IF(WEEKDAY(P6009)=6,1,IF(WEEKDAY(P6009)=7,2,3))",1,"IF, WEEKDAY",Übersicht!S6009
HOUR(P6009),1,HOUR,Übersicht!T6009
"IF(AND(P6009>DATE(2021,5,14),P6009<DATE(2021,9,15)),1,IF(AND(P6009>DATE(2021,3,20),P6009<DATE(2021,11,1)),2,0))",1,"AND, DATE, IF",Übersicht!U6009
"INDEX($D$57:$L$80,1+T6009,S6009+U6009*3)",1,INDEX,Übersicht!V6009
"INDEX(Solarstrahlungsdaten!$B$13:$G$8772,Übersicht!O6009,Übersicht!$E$10)",1,INDEX,Übersicht!W6009
"IF(W6009*$D$9/1000*(1-$D$41)>$D$9*$D$42,$D$9*$D$42,W6009*$D$9/1000*(1-$D$41))",1,IF,Übersicht!X6009
V6009-X6009,1,,Übersicht!Y6009
"IF(X6009>V6009,V6009,X6009)",1,IF,Übersicht!Z6009
Y6009+AA6009-AB6009,1,,Übersicht!AD6009
"IF(AD6009<0,-AD6009,0)",1,IF,Übersicht!AE6009
"IF(AD6009>0,AD6009,0)",1,IF,Übersicht!AF6009
